item_number,description,color,gender,age,emotion
3626bpb0559,"Minifigure, Head Dual Sided PotC Jack Sparrow Moustache, Smile / Scared Pattern",Light Nougat,male,young adult,neutral
3626bpb0559,"Minifigure, Head Dual Sided PotC Jack Sparrow Moustache, Smile / Scared Pattern",Light Nougat,male,young adult,scared
3626bpb0576,"Minifigure, Head Dual Sided PotC Norrington Ragged Brown Beard, Smile / Frown Pattern",Light Nougat,male,young adult,neutral
3626bpb0576,"Minifigure, Head Dual Sided PotC Norrington Ragged Brown Beard, Smile / Frown Pattern",Light Nougat,male,young adult,scared
3626cpb1422,"Minifigure, Head Dual Sided Gray Eyebrows, Lines, White Pupils, Neutral / Open Mouth Lopsided Happy Pattern (Han Solo)",Light Nougat,neutral,young adult,neutral
3626cpb1422,"Minifigure, Head Dual Sided Gray Eyebrows, Lines, White Pupils, Neutral / Open Mouth Lopsided Happy Pattern (Han Solo)",Light Nougat,neutral,young adult,smile
3626cpb1683,"Minifigure, Head Dual Sided Black Eyebrows and Sideburns, Chin Dimple, Neutral / Smiling Pattern (Paul)",Light Nougat,male,young adult,neutral
3626cpb1683,"Minifigure, Head Dual Sided Black Eyebrows and Sideburns, Chin Dimple, Neutral / Smiling Pattern (Paul)",Light Nougat,male,young adult,smile
3626cpb1684,"Minifigure, Head Dual Sided Black Eyebrows, Sideburns and Goatee, Neutral / Smiling Pattern (George)",Light Nougat,male,young adult,neutral
3626cpb1684,"Minifigure, Head Dual Sided Black Eyebrows, Sideburns and Goatee, Neutral / Smiling Pattern (George)",Light Nougat,male,young adult,smile
3626cpb1685,"Minifigure, Head Dual Sided Black Eyebrows, Sideburns, Moustache, Neutral / Smiling Pattern (Ringo)",Light Nougat,male,young adult,neutral
3626cpb1685,"Minifigure, Head Dual Sided Black Eyebrows, Sideburns, Moustache, Neutral / Smiling Pattern (Ringo)",Light Nougat,male,young adult,smile
3626cpb1682,"Minifigure, Head Dual Sided Black Glasses with White Lenses, Sideburns and Moustache, Neutral / Smiling Pattern (John)",Light Nougat,male,young adult,neutral
