image,item_number,color_code,description,color,gender,age,emotion
,3626cpb2225,90,"Minifigure, Head Dual Sided Gold Headset, Closed Mouth Smile / Angry Pattern (SW Anakin)",Light Nougat,male,young adult,neutral
,3626cpb2225,90,"Minifigure, Head Dual Sided Gold Headset, Closed Mouth Smile / Angry Pattern (SW Anakin)",Light Nougat,male,young adult,angry
,3626cpb0929,90,"Minifigure, Head Dual Sided Gray Moustache, Thick Eyebrows and Wrinkles, Frowning / Angry Pattern",Light Nougat,male,older adult,neutral
,3626cpb0929,90,"Minifigure, Head Dual Sided Gray Moustache, Thick Eyebrows and Wrinkles, Frowning / Angry Pattern",Light Nougat,male,older adult,angry
,3626cpb0727,90,"Minifigure, Head Dual Sided LotR Aragorn Brown Beard and Stubble Stern / Frown with Teeth Pattern",Light Nougat,male,young adult,neutral
,3626cpb0727,90,"Minifigure, Head Dual Sided LotR Aragorn Brown Beard and Stubble Stern / Frown with Teeth Pattern",Light Nougat,male,young adult,angry
,3626cpb1197,90,"Minifigure, Head Dual Sided LotR Bard Long Black Sideburns, Moustache, Goatee, Frowning / Angry with Mud Splotches Pattern",Light Nougat,male,young adult,neutral
,3626cpb1197,90,"Minifigure, Head Dual Sided LotR Bard Long Black Sideburns, Moustache, Goatee, Frowning / Angry with Mud Splotches Pattern",Light Nougat,male,young adult,angry
,3626cpb0835,90,"Minifigure, Head Dual Sided LotR Beard Gray Full, Bushy Eyebrows and Wrinkles, Calm / Battle Rage Pattern (Dori)",Light Nougat,male,older adult,neutral
,3626cpb0835,90,"Minifigure, Head Dual Sided LotR Beard Gray Full, Bushy Eyebrows and Wrinkles, Calm / Battle Rage Pattern (Dori)",Light Nougat,male,older adult,angry
,3626cpb0821,90,"Minifigure, Head Dual Sided LotR Beard Stubble, Calm / Battle Rage Pattern (Kili)",Light Nougat,male,young adult,neutral
,3626cpb0821,90,"Minifigure, Head Dual Sided LotR Beard Stubble, Calm / Battle Rage Pattern (Kili)",Light Nougat,male,young adult,angry
,3626cpb0869,90,"Minifigure, Head Dual Sided LotR Beard, Dark Brown Trimmed, Calm / Battle Rage Pattern (Bofur)",Light Nougat,male,young adult,neutral
,3626cpb0869,90,"Minifigure, Head Dual Sided LotR Beard, Dark Brown Trimmed, Calm / Battle Rage Pattern (Bofur)",Light Nougat,male,young adult,angry
,3626bpb0735,90,"Minifigure, Head Dual Sided LotR Legolas Calm / Grimacing Pattern",Light Nougat,male,young adult,neutral
,3626bpb0735,90,"Minifigure, Head Dual Sided LotR Legolas Calm / Grimacing Pattern",Light Nougat,male,young adult,angry
,3626cpb0735,90,"Minifigure, Head Dual Sided LotR Legolas Calm / Grimacing Pattern",Light Nougat,male,young adult,neutral
,3626cpb0735,90,"Minifigure, Head Dual Sided LotR Legolas Calm / Grimacing Pattern",Light Nougat,male,young adult,angry
,3626bpb0705,90,"Minifigure, Head Dual Sided Moustache, Goatee and Cheek Lines, Determined / Angry Pattern",Light Nougat,male,young adult,neutral
,3626bpb0705,90,"Minifigure, Head Dual Sided Moustache, Goatee and Cheek Lines, Determined / Angry Pattern",Light Nougat,male,young adult,angry
,3626cpb0705,90,"Minifigure, Head Dual Sided Moustache, Goatee and Cheek Lines, Determined / Angry Pattern",Light Nougat,male,young adult,neutral
,3626cpb0705,90,"Minifigure, Head Dual Sided Moustache, Goatee and Cheek Lines, Determined / Angry Pattern",Light Nougat,male,young adult,angry
,3626cpb1695,90,"Minifigure, Head Dual Sided Black Headband with Squinted Batman Eyes, Stern / Open Mouth Angry Pattern",Light Nougat,male,young adult,neutral
,3626cpb1695,90,"Minifigure, Head Dual Sided Black Headband with Squinted Batman Eyes, Stern / Open Mouth Angry Pattern",Light Nougat,male,young adult,annoyed
,3626cpb2437,90,"Minifigure, Head Dual Sided Crow's Feet, Bushy Eyebrows and Rodent Teeth Pattern (Peter Pettigrew)",Light Nougat,male,older adult,neutral
,3626cpb2437,90,"Minifigure, Head Dual Sided Crow's Feet, Bushy Eyebrows and Rodent Teeth Pattern (Peter Pettigrew)",Light Nougat,male,older adult,annoyed
,3626cpb2233,90,"Minifigure, Head Dual Sided Brown Eyebrows, Cheek Lines, Chin Dimple, Goggles, Smile / Determined Pattern (SW Han Solo)",Light Nougat,male,young adult,neutral
,3626cpb2233,90,"Minifigure, Head Dual Sided Brown Eyebrows, Cheek Lines, Chin Dimple, Goggles, Smile / Determined Pattern (SW Han Solo)",Light Nougat,male,young adult,frown
,3626cpb1481,90,"Minifigure, Head Dual Sided Moustache, Goatee and Cheek Lines, Eyebrow Raised / Frown and Magenta Black Eye Pattern",Light Nougat,male,young adult,neutral
,3626cpb1481,90,"Minifigure, Head Dual Sided Moustache, Goatee and Cheek Lines, Eyebrow Raised / Frown and Magenta Black Eye Pattern",Light Nougat,male,young adult,frown
,3626cpb2295,90,"Minifigure, Head Dual Sided SW Brown Eyebrows, Cheek Lines, Black Chin Strap, Neutral / Frown Pattern",Light Nougat,neutral,young adult,neutral
,3626cpb2295,90,"Minifigure, Head Dual Sided SW Brown Eyebrows, Cheek Lines, Black Chin Strap, Neutral / Frown Pattern",Light Nougat,neutral,young adult,frown
,3626cpb2215,90,"Minifigure, Head Dual Sided White Eyebrows, Gray Right Eye, Neutral / Furrowed Brow and Open Mouth Pattern",Light Nougat,neutral,young adult,neutral
,3626cpb2215,90,"Minifigure, Head Dual Sided White Eyebrows, Gray Right Eye, Neutral / Furrowed Brow and Open Mouth Pattern",Light Nougat,neutral,young adult,frown
,3626cpb1258,90,"Minifigure, Head Dual Sided White Headband and Cheek Lines, Determined / Frown Pattern (Batman)",Light Nougat,male,young adult,neutral
,3626cpb1258,90,"Minifigure, Head Dual Sided White Headband and Cheek Lines, Determined / Frown Pattern (Batman)",Light Nougat,male,young adult,frown
,3626cpb2755,90,"Minifigure, Head Dual Sided Black Eyebrows, Silver Goggles with Orange Circular Lenses, Evil Happy / Worried Expression Pattern",Light Nougat,male,young adult,neutral
,3626cpb2755,90,"Minifigure, Head Dual Sided Black Eyebrows, Silver Goggles with Orange Circular Lenses, Evil Happy / Worried Expression Pattern",Light Nougat,male,young adult,happy
,3626cpb2230,90,"Minifigure, Head Dual Sided Dark Tan Eyebrows and Moustache, Dark Orange Brow Furrow, Crow's Feet, Cheek Lines, Neutral / Smile Pattern",Light Nougat,male,older adult,neutral
,3626cpb2230,90,"Minifigure, Head Dual Sided Dark Tan Eyebrows and Moustache, Dark Orange Brow Furrow, Crow's Feet, Cheek Lines, Neutral / Smile Pattern",Light Nougat,male,older adult,happy
,3626cpb2129,90,"Minifigure, Head Dual Sided Orange Eyebrows, Facial Hairs, Long White Scar on Left Side, Frown / Open Mouth Pattern (SW Rebolt)",Light Nougat,male,young adult,neutral
,3626cpb2129,90,"Minifigure, Head Dual Sided Orange Eyebrows, Facial Hairs, Long White Scar on Left Side, Frown / Open Mouth Pattern (SW Rebolt)",Light Nougat,male,young adult,happy
,3626cpb0795,90,"Minifigure, Head Dual Sided Beard, Brown Eyebrows, Moustache, White Pupils / Breathing Apparatus Pattern (SW Qui-Gon)",Light Nougat,male,young adult,neutral
,3626cpb0795,90,"Minifigure, Head Dual Sided Beard, Brown Eyebrows, Moustache, White Pupils / Breathing Apparatus Pattern (SW Qui-Gon)",Light Nougat,male,young adult,neutral
,3626cpb1681,90,"Minifigure, Head Dual Sided Black Eyebrows and Cheek Lines, Left Eyebrow Raised / Black Glasses and Headset with Microphone Pattern",Light Nougat,neutral,young adult,neutral
