item_number,description,category
cty1081,"Boy - Dark Purple Jacket, Dark Bluish Gray Short Legs, Ski Beanie Hat",Town
cty1233,"Boy - Green Ninjago Hoodie, Black Short Legs, Reddish Brown Hair",Town
twn300,"Boy - Orange Jacket with Hood over Light Blue Sweater, Dark Azure Short Legs, Lime Cap",Town
twn415,"Boy - White Sweater with Red Horizontal Stripes, Sand Blue Short Legs, Dark Brown Hair",Town
twn397,"Boy with Classic Space Shirt with Red Sleeves, Dark Blue Short Legs, Dark Orange Hair",Town
twn339,Boy with White Classic Space Shirt,Town
cty1343,"Boy, Bright Green Sweater, Dark Blue Legs, Orange Hair",Town
cty1046,"Boy, Classic Space Shirt with Minifigure Floating and Back Print, Blue Short Legs, Reddish Brown Hair",Town
cty0657,"Boy, Dark Azure Hoodie with Green Striped Shirt, Dark Tan Short Legs, Freckles",Town
twn244,"Boy, Denim Jacket, Light Bluish Gray Short Legs",Town
cty0662,"Boy, Freckles, Classic Space Shirt with Red Sleeves, Dark Blue Short Legs",Town
cty1015,"Boy, Freckles, Classic Space Shirt with Red Sleeves, Light Bluish Gray Short Legs, Blue Cap with Tiny Yellow Propeller",Town
cty1023,"Boy, Freckles, White Shirt with Orange Pocket, Dark Azure Short Legs, Dark Orange Hair Tousled with Side Part",Town
twn197,"Boy, Green V-Neck Sweater, Dark Blue Short Legs",Town
twn242,"Boy, Green V-Neck Sweater, Red Short Legs",Town
twn329,"Boy, Jersey with #39, Green Short Legs, Dark Green Cap",Town
cty1323,"Boy, Lime Hoodie and Dark Blue Legs",Town
twn291,"Boy, Orange Jacket with Hood over Light Blue Sweater, Green Short Legs, Dark Tan Cap with Hole",Town
cty1352,"Boy, Red Jacket with Striped Trim, Sand Blue Short Legs, Dark Brown Hair",Town
twn132,"Bride, Printed Legs",Town
twn157,"Bride, Wedding Dress with Necklace",Town
cty1361,"Bright Pink Hoodie, Medium Blue and White Diagonal Stripes, Dark Blue Short Legs, Tan Hair, Freckles, Smile",Town
cty0712,"Buggy Driver, Checkered Race Torso, Blue Helmet, Black Legs",Town
jbl009,"Bulldozer Logo - Blue Legs, Red Cap",Town
jbl002,"Bulldozer Logo - Blue Legs, Red Construction Helmet",Town
trn018,"Bulldozer Logo - Green Legs, Brown Male Hair",Town
jbl003,"Bulldozer Logo - Red Legs, Red Construction Helmet",Town
cty0964,Burger Chef,Town
cty0964a,"Burger Chef - White Torso with 8 Buttons, No Wrinkles Front or Back, Black Legs, Dark Brown Hair",Town
cty0944,"Bus Driver - Male, Black Vest with Blue Striped Tie, Black Legs, Black Hat, Glasses and Beard",Town
cty0315,"Businessman - Pinstripe Jacket and Gold Tie, Dark Blue Legs, Dark Tan Mid-Length Tousled Hair, Smirk and Stubble",Town
twn277,"Businessman - Pinstripe Jacket and Gold Tie, Dark Blue Legs, Medium Nougat Tousled Hair, Beard",Town
cty0460,"Businessman Pinstripe Jacket and Gold Tie, Dark Blue Legs, Dark Brown Hair, Crooked Smile",Town
twn191,"Businessman Pinstripe Jacket and Gold Tie, Dark Tan Legs, Tan Tousled and Layered Hair",Town
cty0656,"Businesswoman - Dark Blue Pants Suit, Glasses",Town
cty0691,"Businesswoman - Dark Blue Pants Suit, Peach Lips, Dark Orange Female Hair over Shoulder",Town
cty1033,"Camera Operator - Hawaiian Shirt, Tan Legs, Medium Nougat Hair Spiked",Town
cty1044,"Cameraman - Dark Blue Jacket, Sand Blue Legs",Town
twn261,Camper - Boy,Town
twn260,"Camper - Female, Dark Blue Legs",Town
cty0624,"Camper - Female, Tan Legs",Town
cty0845,"Camper, Boy Child",Town
cty0844,"Camper, Female Parent",Town
cty0912,"Camper, Female, Dark Pink Jacket, Dark Blue Legs, Light Bluish Gray Female Hair Short Tousled",Town
twn307,"Camper, Hooded Sweatshirt",Town
cty0915,"Camper, Male Child, Tan Shirt, Medium Nougat Short Legs, Glasses, Backpack",Town
cty0843,"Camper, Male Parent",Town
cty0919,"Camper, Male Parent, Beard, Black Hair Swept Left Tousled, Baby Carrier",Town
cty1283,"Car Driver - Female, Black Leather Jacket, Medium Blue Legs, Reddish Brown Hair",Town
cty1267,"Car Driver - Male, Lime Hoodie, Light Bluish Gray Legs, Medium Nougat Hair",Town
car003,"Cargo - Green Shirt, Green Legs, Green Cap",Town
car002,"Cargo - Green Shirt, Green Legs, Red Construction Helmet",Town
car001,"Cargo - White Shirt, Green Legs, Black Male Hair",Town
