image,item_number,color_code,description,color,emotion,link,release_year
NA,3626cpb2254,90,"Minifigure, Head Dual Sided Dark Bluish Gray Eyebrows and Sideburns, Cheek Lines, Frown / Mouth with Teeth Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2254,2018
NA,3626cpb2251,90,"Minifigure, Head Dual Sided Dark Brown Heavy Stubble, Small Scowl / Furious Expression Pattern",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2251,2018
NA,3626cpb2251,90,"Minifigure, Head Dual Sided Dark Brown Heavy Stubble, Small Scowl / Furious Expression Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2251,2018
NA,3626cpb2521,90,"Minifigure, Head Dual Sided Dark Orange Beard and Eyebrows, Bared Teeth / Frown Pattern (SW Obi-Wan)",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2521,2020
NA,3626cpb2521,90,"Minifigure, Head Dual Sided Dark Orange Beard and Eyebrows, Bared Teeth / Frown Pattern (SW Obi-Wan)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2521,2020
NA,3626bpb0751,90,"Minifigure, Head Dual Sided Dark Red Goggles / Brown Eyebrows, Determined Pattern (Hawkeye)",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0751,"NA"
NA,3626bpb0751,90,"Minifigure, Head Dual Sided Dark Red Goggles / Brown Eyebrows, Determined Pattern (Hawkeye)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0751,"NA"
NA,3626cpb0751,90,"Minifigure, Head Dual Sided Dark Red Goggles / Brown Eyebrows, Determined Pattern (Hawkeye)",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0751,2012
NA,3626cpb0751,90,"Minifigure, Head Dual Sided Dark Red Goggles / Brown Eyebrows, Determined Pattern (Hawkeye)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0751,2012
NA,3626cpb1276,90,"Minifigure, Head Dual Sided Dark Green Eye Mask with Eye Holes, Stubble Beard, Serious / Bared Teeth Pattern (Green Arrow)",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1276,2015
NA,3626cpb1276,90,"Minifigure, Head Dual Sided Dark Green Eye Mask with Eye Holes, Stubble Beard, Serious / Bared Teeth Pattern (Green Arrow)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1276,2015
NA,3626cpb1729,90,"Minifigure, Head Dual Sided Brown and Gray Beard, Brown Eyebrows, Moustache, White Pupils, Frown / Scared Pattern (SW Qui-Gon)",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1729,2017
NA,3626cpb1729,90,"Minifigure, Head Dual Sided Brown and Gray Beard, Brown Eyebrows, Moustache, White Pupils, Frown / Scared Pattern (SW Qui-Gon)",Light Nougat,sad,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1729,2017
NA,3626bpb0417,90,"Minifigure, Head Dual Sided Beard Stubble, Bushy Eyebrows, Determined / Happy Pattern",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0417,2010
NA,3626bpb0417,90,"Minifigure, Head Dual Sided Beard Stubble, Bushy Eyebrows, Determined / Happy Pattern",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0417,2010
NA,3626cpb1091,90,"Minifigure, Head Dual Sided Black Eye Mask with Red Eye Holes Determined / Smile Pattern (Nightwing)",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1091,2014
NA,3626cpb1091,90,"Minifigure, Head Dual Sided Black Eye Mask with Red Eye Holes Determined / Smile Pattern (Nightwing)",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1091,2014
NA,3626cpb1637,90,"Minifigure, Head Dual Sided Dark Tan Eyebrows, Chin Dimple, White Pupils, Stern with Scars / Smile Pattern (SW Luke Skywalker)",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1637,2016
NA,3626cpb1637,90,"Minifigure, Head Dual Sided Dark Tan Eyebrows, Chin Dimple, White Pupils, Stern with Scars / Smile Pattern (SW Luke Skywalker)",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1637,2016
NA,3626bpb0385,90,"Minifigure, Head Beard Brown, Black Pupils and Frown Pattern",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0385,2009
