"","item_number","description","category","item_link","minifigs_link","color_link","Name"
"193","48212","Minifigure, Hair Female Long Top Braided, Elaborate","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=48212","https://www.bricklink.com/catalogItemIn.asp?P=48212&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=48212#T=C","Reddish Brown"
"194","77184","Minifigure, Hair Female Long Top, Left Side Swept Back","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=77184","https://www.bricklink.com/catalogItemIn.asp?P=77184&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=77184#T=C","Coral"
"195","77184","Minifigure, Hair Female Long Top, Left Side Swept Back","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=77184","https://www.bricklink.com/catalogItemIn.asp?P=77184&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=77184#T=C","Pearl Gold"
"196","20595","Minifigure, Hair Female Long Tousled with Center Part","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=20595","https://www.bricklink.com/catalogItemIn.asp?P=20595&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=20595#T=C","Black"
"197","20595","Minifigure, Hair Female Long Tousled with Center Part","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=20595","https://www.bricklink.com/catalogItemIn.asp?P=20595&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=20595#T=C","Bright Light Yellow"
"198","20595","Minifigure, Hair Female Long Tousled with Center Part","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=20595","https://www.bricklink.com/catalogItemIn.asp?P=20595&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=20595#T=C","Dark Brown"
"199","20595","Minifigure, Hair Female Long Tousled with Center Part","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=20595","https://www.bricklink.com/catalogItemIn.asp?P=20595&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=20595#T=C","Medium Nougat"
"200","20595","Minifigure, Hair Female Long Tousled with Center Part","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=20595","https://www.bricklink.com/catalogItemIn.asp?P=20595&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=20595#T=C","Orange"
"201","20595","Minifigure, Hair Female Long Tousled with Center Part","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=20595","https://www.bricklink.com/catalogItemIn.asp?P=20595&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=20595#T=C","White"
"202","20595","Minifigure, Hair Female Long Tousled with Center Part","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=20595","https://www.bricklink.com/catalogItemIn.asp?P=20595&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=20595#T=C","Yellowish Green"
